"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\static\admin\img\icon-yes.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\inline-delete.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\search.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\selector-icons.svg", "XML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\support.user2\django_project_form\static\admin\img\sorting-icons.svg", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\support.user2\django_project_form\static\admin\img\tooltag-add.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 0, 107, 0, 0, 0, 5, 1, 113
"c:\Users\support.user2\django_project_form\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 0, 190, 0, 0, 0, 27, 20, 237
"c:\Users\support.user2\django_project_form\static\admin\js\actions.js", "JavaScript", 0, 0, 0, 0, 174, 0, 0, 0, 7, 21, 202
"c:\Users\support.user2\django_project_form\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 323, 0, 0, 0, 66, 27, 416
"c:\Users\support.user2\django_project_form\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, 137, 0, 0, 0, 7, 12, 156
"c:\Users\support.user2\django_project_form\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 2, 4, 42
"c:\Users\support.user2\django_project_form\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, 0, 178, 0, 0, 0, 28, 16, 222
"c:\Users\support.user2\django_project_form\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 3, 3, 30
